RMSE,MAE,R2,SMAPE,WAPE,MAPE_gt_1M_ref,Fold,Model,Rows,HoldoutStart,HoldoutEnd,StrictRows,Errors,Strict_R2,Strict_WAPE
154739689.5526927,79413841.30123287,-0.004319789608282276,135.1485040819842,117.78401575387123,404.5931318850749,1,DummyMean,3799,1986-12-20,2002-11-13,2152,,-0.0914951327341631,86.03784400859493
164769350.7054866,66060491.21946256,-0.13873177294070738,148.95305548768187,97.97876303435852,100.49444354856571,1,DummyMedian,3799,1986-12-20,2002-11-13,2152,,-0.30252461682643705,93.42825693778087
19973525048239.754,411228668376.81006,-16733161973.720112,147.3954698894933,609920.930166436,123021.51864744615,1,LinearRegression(log-target),3799,1986-12-20,2002-11-13,2152,,-1398083417.636725,152023.6360184332
124439078.66729468,46986135.33795707,0.3504955187086156,128.3331598615256,69.68830136130872,176.0245278323091,1,LightGBM(log-target),3799,1986-12-20,2002-11-13,2152,,0.2625675332648395,66.40800232818185
125018547.6883291,47274812.01924556,0.3444324067660902,132.24346303724116,70.11645718678608,183.702153903733,1,LightGBM(two-stage),3799,1986-12-20,2002-11-13,2152,,0.25591069792588006,67.19808321060847
127071510.85968886,47464320.1589448,0.32272512440027257,129.08985597061394,70.39752947023294,169.3143709604103,1,XGBoost(log-target),3799,1986-12-20,2002-11-13,2152,,0.23073499742929793,67.10830706634219
126847958.39931092,47317745.3405054,0.3251060401810425,131.287419810793,70.18013448667206,173.60540456462067,1,XGBoost(two-stage),3799,1986-12-20,2002-11-13,2152,,0.23342700622748513,67.280370799335
125810627.8556778,47201310.00263613,0.3360991307311515,131.44294617231685,70.0074413963343,178.22468433130075,1,Ensemble(two-stage),3799,1986-12-20,2002-11-13,2152,,0.2461591336497878,67.0937202625011
153367926.25797138,81015620.63132359,-0.0029807326067470274,147.01084846121435,143.35836016654196,560.7532204026809,2,DummyMean,3799,2002-11-13,2010-09-03,1903,,-0.048973915433671245,91.0499826167454
159752460.50403044,57046805.473201565,-0.08822478063312578,152.52946628079286,100.94518096200231,114.9318890391022,2,DummyMedian,3799,2002-11-13,2010-09-03,1903,,-0.23730617250131347,93.44469856751091
47466473825951.89,775874386392.9119,-96072134514.01305,162.46889126430563,1372921.405301251,738797.9158437497,2,LinearRegression(log-target),3799,2002-11-13,2010-09-03,1903,,-109621212083.82756,1402128.119031331
92557439.14864948,31318947.755903672,0.634702954333256,140.48560175013984,55.41934947162544,92.39462600466926,2,LightGBM(log-target),3799,2002-11-13,2010-09-03,1903,,0.5874868699577707,53.12954211781208
90713987.93582001,30727906.616442714,0.6491091699170279,142.22670777906066,54.373493278908356,93.9051463709559,2,LightGBM(two-stage),3799,2002-11-13,2010-09-03,1903,,0.6039316114711581,52.11347879306497
92797167.82336025,31161293.2998422,0.6328082263517945,140.4280096214128,55.140377538585874,89.10914928049377,2,XGBoost(log-target),3799,2002-11-13,2010-09-03,1903,,0.5853410812974527,52.837114214492374
93531870.0567906,30948885.399358694,0.6269708808247165,142.7545635286448,54.76451856148435,90.0299946364446,2,XGBoost(two-stage),3799,2002-11-13,2010-09-03,1903,,0.5785348476833364,52.666414439205546
91821708.6911417,30683953.58045314,0.640487297337017,142.24334429917582,54.295717720137034,91.54131167797117,2,Ensemble(two-stage),3799,2002-11-13,2010-09-03,1903,,0.594013976067062,52.10889308152662
142144714.54330477,78834428.29269765,-0.020526224893621547,163.91351917548448,183.5514559524612,811.566094429222,3,DummyMean,3799,2010-09-04,2015-11-13,1405,,-0.05161470899778986,96.84773516809133
144807256.94401997,45531586.60886329,-0.05911566554415981,163.66374382928223,106.01191883897478,124.00941509919834,3,DummyMedian,3799,2010-09-04,2015-11-13,1405,,-0.2320292239677344,95.56994841693148
3940544760.002173,207222037.8886662,-783.2874543411435,169.2458562827808,482.4783737719322,295.86069231551977,3,LinearRegression(log-target),3799,2010-09-04,2015-11-13,1405,,-918.9576389865562,497.57259939879754
72161870.85147965,21811672.412740994,0.7369863391054053,150.83259539101329,50.784464539430004,90.75952175533928,3,LightGBM(log-target),3799,2010-09-04,2015-11-13,1405,,0.700772360356821,48.17266589849641
70151027.4652952,21424365.14042377,0.7514402458588879,157.55484353233695,49.88269084392155,90.55940806241742,3,LightGBM(two-stage),3799,2010-09-04,2015-11-13,1405,,0.717745221477027,47.4503273566122
73198542.01260026,22266420.415050633,0.729375195729755,152.21064364516556,51.843261561531826,93.21241665527403,3,XGBoost(log-target),3799,2010-09-04,2015-11-13,1405,,0.6919201712135578,49.25663775613558
70368845.90810277,21085643.67815518,0.7498942969511098,157.40141974575064,49.09404026436878,89.53595403308651,3,XGBoost(two-stage),3799,2010-09-04,2015-11-13,1405,,0.71596842439988,46.617119926586525
69891397.93780087,21137919.324563447,0.7532766845949329,157.26049896619602,49.21575448513371,89.53508664221424,3,Ensemble(two-stage),3799,2010-09-04,2015-11-13,1405,,0.7199122716797215,46.75015313377086
151808228.68518737,76151532.36042058,-0.020839997150272627,171.95644923197432,204.81468640949623,831.7527985889365,4,DummyMean,3799,2015-11-13,2019-12-19,1089,,-0.06296259096640733,97.32447880910972
153771017.7269635,38811397.5321108,-0.04740834398170013,170.4303794881063,104.3858733798127,87.05471114725316,4,DummyMedian,3799,2015-11-13,2019-12-19,1089,,-0.21215187319149176,97.51911568276638
1448225809.222485,88785351.84364997,-91.90511336964023,175.55114578769164,238.79419667548666,186.8390713531263,4,LinearRegression(log-target),3799,2015-11-13,2019-12-19,1089,,-107.61166211661549,242.5266266323315
84765705.87366636,20873401.065241344,0.6817214157273144,161.67584376963703,56.140421091500656,92.5366415293431,4,LightGBM(log-target),3799,2015-11-13,2019-12-19,1089,,0.6453543195821645,52.10909633971076
84799175.33095226,20727466.170784466,0.6814700236237359,167.97080799248732,55.74791934244953,93.32913513698468,4,LightGBM(two-stage),3799,2015-11-13,2019-12-19,1089,,0.6445268777917346,51.916295938496745
86145671.06033039,21362257.684608523,0.671274065467703,162.75562537429562,57.45523396645385,96.51359301372939,4,XGBoost(log-target),3799,2015-11-13,2019-12-19,1089,,0.6325408765272253,53.51021959471524
82437967.81444262,20373163.692690823,0.6989618013075098,167.391275886574,54.79499891267532,94.81328615105302,4,XGBoost(two-stage),3799,2015-11-13,2019-12-19,1089,,0.6654512819638545,50.80681787766416
83427957.9393519,20503148.001375403,0.6916881062221347,167.57618373629853,55.144600484648734,93.79224908913892,4,Ensemble(two-stage),3799,2015-11-13,2019-12-19,1089,,0.6566913336409129,51.22883852305138
115119944.52954248,64089884.8873785,-0.06511589591868061,174.63487482650117,249.34282871778043,904.7327342279788,5,DummyMean,3798,2019-12-19,2026-03-15,991,,-0.03292710692369627,102.97693240967808
114095230.80428535,26269976.367386706,-0.046238519182087545,171.97125800655252,102.20380687691653,75.62999715493513,5,DummyMedian,3798,2019-12-19,2026-03-15,991,,-0.1949313626421072,98.55446102625685
18280597238.580566,396543357.3623927,-26857.17402527822,179.7785182043086,1542.758933141049,997.1074042208443,5,LinearRegression(log-target),3798,2019-12-19,2026-03-15,991,,-31483.355320691666,1664.1198472758554
74678497.09820423,17539300.40523177,0.5517845100810195,165.0630209620843,68.23695789836964,112.10271554023782,5,LightGBM(log-target),3798,2019-12-19,2026-03-15,991,,0.521953570433185,60.88626893663683
72408955.47484364,17601261.31748409,0.5786138199472213,171.74941060367638,68.47801792146181,116.3479469917953,5,LightGBM(two-stage),3798,2019-12-19,2026-03-15,991,,0.5523643485531169,61.130007971334855
73693241.2818352,17759449.60056837,0.563533375127734,166.44950473396835,69.09345222975483,117.67398185227083,5,XGBoost(log-target),3798,2019-12-19,2026-03-15,991,,0.5380669181197435,61.49063777488992
70963489.62161662,17431962.02722578,0.5952697639214619,171.36616988894363,67.8193560435836,117.93223153823178,5,XGBoost(two-stage),3798,2019-12-19,2026-03-15,991,,0.5734758851509199,60.29117150894627
71488027.86737643,17464504.706570752,0.5892643912632074,171.44676714549092,67.94596391214492,116.90690119500246,5,Ensemble(two-stage),3798,2019-12-19,2026-03-15,991,,0.565537969808827,60.49057484881462
